tiempo,altura,setpoint,flujo_entrada,flujo_salida,error
0.0000,1.2170,1.0000,0.2775,0.5516,-0.2170
0.0000,1.2170,1.0000,0.2669,0.5516,-0.2170
0.0000,1.2170,1.0000,0.2564,0.5516,-0.2170
0.0000,1.2168,1.0000,0.2460,0.5516,-0.2168
0.0000,1.2165,1.0000,0.2357,0.5515,-0.2165
0.0000,1.2161,1.0000,0.2256,0.5515,-0.2161
0.0000,1.2156,1.0000,0.2156,0.5514,-0.2156
0.0000,1.2150,1.0000,0.2057,0.5513,-0.2150
0.0000,1.2143,1.0000,0.1959,0.5511,-0.2143
0.0000,1.2135,1.0000,0.1863,0.5510,-0.2135
0.0000,1.2126,1.0000,0.1768,0.5508,-0.2126
0.0000,1.2116,1.0000,0.1674,0.5506,-0.2116
0.0000,1.2094,1.0000,0.1620,0.5501,-0.2094
0.0000,1.2072,1.0000,0.1542,0.5496,-0.2072
0.0000,1.2048,1.0000,0.1467,0.5491,-0.2048
0.0000,1.2035,1.0000,0.1350,0.5488,-0.2035
0.0000,1.2007,1.0000,0.1315,0.5482,-0.2007
0.0000,1.1993,1.0000,0.1196,0.5479,-0.1993
0.0000,1.1977,1.0000,0.1115,0.5476,-0.1977
0.0000,1.1961,1.0000,0.1035,0.5472,-0.1961
0.0000,1.1944,1.0000,0.0957,0.5468,-0.1944
0.0000,1.1926,1.0000,0.0880,0.5464,-0.1926
0.0000,1.1908,1.0000,0.0805,0.5460,-0.1908
0.0000,1.1889,1.0000,0.0732,0.5456,-0.1889
0.0000,1.1869,1.0000,0.0660,0.5452,-0.1869
0.0000,1.1848,1.0000,0.0590,0.5447,-0.1848
0.0000,1.1827,1.0000,0.0522,0.5442,-0.1827
0.0000,1.1783,1.0000,0.0533,0.5433,-0.1783
0.0000,1.1761,1.0000,0.0412,0.5427,-0.1761
0.0000,1.1738,1.0000,0.0351,0.5422,-0.1738
0.0000,1.1691,1.0000,0.0374,0.5412,-0.1691
0.0000,1.1668,1.0000,0.0254,0.5406,-0.1668
0.0000,1.1619,1.0000,0.0286,0.5395,-0.1619
0.0000,1.1595,1.0000,0.0168,0.5390,-0.1595
0.0000,1.1544,1.0000,0.0207,0.5378,-0.1544
0.0000,1.1519,1.0000,0.0092,0.5372,-0.1519
0.0000,1.1494,1.0000,0.0046,0.5366,-0.1494
0.0000,1.1441,1.0000,0.0093,0.5354,-0.1441
0.0000,1.1415,1.0000,0.0000,0.5348,-0.1415
0.0000,1.1388,1.0000,0.0010,0.5342,-0.1388
0.0000,1.1362,1.0000,0.0000,0.5336,-0.1362
0.0000,1.1335,1.0000,0.0000,0.5330,-0.1335
0.0000,1.1309,1.0000,0.0022,0.5323,-0.1309
0.0000,1.1282,1.0000,0.0000,0.5317,-0.1282
0.0000,1.1256,1.0000,0.0010,0.5311,-0.1256
0.0000,1.1229,1.0000,0.0000,0.5305,-0.1229
0.0000,1.1203,1.0000,0.0002,0.5298,-0.1203
0.0000,1.1176,1.0000,0.0000,0.5292,-0.1176
0.0000,1.1150,1.0000,0.0000,0.5286,-0.1150
0.0000,1.1097,1.0000,0.0114,0.5273,-0.1097
0.0000,1.1072,1.0000,0.0017,0.5267,-0.1072
0.0000,1.1046,1.0000,0.0000,0.5261,-0.1046
0.0000,1.1020,1.0000,0.0020,0.5255,-0.1020
0.0000,1.0993,1.0000,0.0000,0.5249,-0.0993
0.0000,1.0967,1.0000,0.0022,0.5242,-0.0967
0.0000,1.0941,1.0000,0.0000,0.5236,-0.0941
0.0000,1.0915,1.0000,0.0000,0.5230,-0.0915
0.0000,1.0889,1.0000,0.0007,0.5224,-0.0889
0.0000,1.0863,1.0000,0.0000,0.5218,-0.0863
0.0000,1.0837,1.0000,0.0016,0.5211,-0.0837
0.0000,1.0811,1.0000,0.0001,0.5205,-0.0811
0.0000,1.0785,1.0000,0.0000,0.5199,-0.0785
0.0000,1.0759,1.0000,0.0014,0.5193,-0.0759
0.0000,1.0733,1.0000,0.0003,0.5186,-0.0733
0.0000,1.0707,1.0000,0.0000,0.5180,-0.0707
0.0000,1.0682,1.0000,0.0019,0.5174,-0.0682
0.0000,1.0656,1.0000,0.0011,0.5168,-0.0656
0.0000,1.0630,1.0000,0.0006,0.5161,-0.0630
0.0000,1.0605,1.0000,0.0001,0.5155,-0.0605
0.0000,1.0579,1.0000,0.0000,0.5149,-0.0579
0.0000,1.0553,1.0000,0.0024,0.5143,-0.0553
0.0000,1.0528,1.0000,0.0022,0.5136,-0.0528
0.0000,1.0502,1.0000,0.0022,0.5130,-0.0502
0.0000,1.0477,1.0000,0.0024,0.5124,-0.0477
0.0000,1.0451,1.0000,0.0027,0.5118,-0.0451
0.0000,1.0426,1.0000,0.0030,0.5112,-0.0426
0.0000,1.0401,1.0000,0.0035,0.5105,-0.0401
